Author,News_statement,Source,Validity_Check
Andy Nguyen,"The ocean is ""flat"" and ""contained"" by land features that jut up from a flat (not spherical) earth.",Facebook posts,Fake
Jeff Cercone,"""Healthy pilots are suffering from myocarditis and dropping dead on flights” because of the COVID-19 vaccines.",Instagram posts,Fake
Tom Kertscher,"“Face masks may raise risk of stillbirths, testicular dysfunction and cognitive decline, study warns.”",Instagram posts,Fake
Sara Swann,“When fentanyl burns it smells like popcorn.”,Facebook posts,Fake
Loreben Tuquero,"Chick-fil-A “donates another $1.8 million to anti-LGBTQ groups,” backtracking on its promise not to.",Instagram posts,Fake
Tom Kertscher,"""Oil pulling” improves overall oral health, strengthens gums, helps prevent cavities, whitens teeth and reduces plaque.",Facebook posts,Fake
Loreben Tuquero,"Chemtrails are being put into the atmosphere and are trickling down into soil and water, becoming “the real cause of disease.”",Facebook posts,Fake
Andy Nguyen,"""There is no Biden presidency. The real Biden was executed for his crimes long ago along with Clinton.""",Facebook posts,Fake
Gabrielle Settles,Video shows someone impersonating Joe Biden in a mask.,Instagram posts,Fake
Maria Briceño,Este video enseña “las primera palabras” de Gustavo Petro junto a Joe Biden.,Facebook posts,Fake
Maria Briceño,“El CEO de Pfizer es un lagarto (demonio)”.,Instagram posts,Fake
Sara Swann,Israel is banning Christianity.,Facebook posts,Fake
Jeff Cercone,"“1,900 food production companies have been destroyed” as part of conspiracy.",Instagram posts,Fake
Madison Czopek,BlackRock owns 59 million shares of Dominion Voting Systems and 45.7 million shares of Fox News. BlackRock sued itself and fired Tucker Carlson as part of the lawsuit.,Facebook posts,Fake
Tom Kertscher,Dr. Anthony Fauci “admits that mask mandates were a broad spectrum failure.”,Instagram posts,Fake
Samantha Putterman,“The abortion pill has been linked to the deaths of at least 28 women in the U.S. alone.”,Instagram posts,Fake
Gabrielle Settles,A Pentagon plan and a CDC poster proves that a “zombie apocalypse” is coming.,Facebook posts,Fake
Conor Amendola,“Individuals released from incarceration are 129 times more likely to die of a drug overdose during the first two weeks after release.”,Paul Tonko,Real
Marta Campabadal,"“¡Los préstamos de estímulo de $50,000 finalmente están aquí!”",Facebook posts,Fake
Sara Swann,“The Antarctic ice cap is not melting.”,Instagram posts,Fake
Loreben Tuquero,Brain aneurysms are a “serious and common COVID-19 mRNA vaccine injury in young people.”,Instagram posts,Fake
Cameron Carr,“Many law enforcement agencies didn’t submit their (hate crime) data to the FBI.”,Kirsten Gillibrand,Real
Gabrielle Settles,People are participating in “National Rape Day’” on April 24.,TikTok posts,Fake
Jeff Cercone,"""Adam Schiff will be impeached.”",Facebook posts,Fake
Jeff Cercone,Bill Gates is coating your organic produce with a “dangerous chemical.”,Instagram posts,Fake
Aarón Torres,“Fentanyl is the leading cause of death for Americans 18-45.”,Greg Abbott,Real
Gabrielle Settles,"Video shows Nancy Pelosi saying, “I’ve given a shoot-to-kill order for any breach of the speaker’s lobby,” on Jan. 6, 2021.",TikTok posts,Fake
Loreben Tuquero,"George Soros is banned in Russia, Pakistan, Turkey, Hungary, Poland and the Philippines.",Facebook posts,Fake
Jeff Cercone,"""U.N. calls for decriminalizing sex with minors.”",Instagram posts,Fake
Andy Nguyen,"""Scientists struggle to understand why Antarctica hasn’t warmed for over 70 years despite rise in CO2.""",Instagram posts,Fake
Maria Briceño,"La Reserva Federal “presentó su nuevo sistema de pagos que va a sustituir al sistema bancario actual"".",Facebook posts,Fake
Sara Swann,Symbols on Huggies diapers are coded references to pedophilia.,Instagram posts,Fake
Marta Campabadal,“Extraterrestres reales de visita”.,Facebook posts,Fake
Louis Jacobson,"""In the 1960s, liberals emptied our psych wards.""",Mike Pence,Real
Jeff Cercone,A video proves that “our own government is acknowledging that they’re spraying the skies” with toxic chemicals.,Facebook posts,Fake
Grace Abels,Missouri’s attorney general has a website “where people can report trans individuals and the people who help them.”,Tweets,Real
Maria Ramirez,Florida has “the second lowest tax burden per capita in the United States.”,Ron DeSantis,Real
Marta Campabadal,"""Nueva ley de perdón está eliminando hasta $15,000 de deuda para todos los estadounidenses…cualquier categoría aplica"".",Facebook posts,Fake
Sara Swann,The RESTRICT Act would allow the U.S. government to “charge you with a felony and $1 million for having a VPN.”,Instagram posts,Fake
Marta Campabadal,"""La Asociación Nacional de la Deuda ... recientemente aprobó un programa de alivio de la deuda para todos los que tengan más de $10,000 en deuda en tarjetas de crédito"".",Facebook posts,Fake
Madison Czopek,“One in 5 Americans has lost a family member to gun violence.”,Kamala Harris,Real
Maria Briceño,Hay “restos de una nave nodriza gigante ocultada por la NASA” en Marte.,Facebook posts,Fake
Samantha Putterman,Video shows Russian President Vladimir Putin talking in English about U.S. democracy.,Instagram posts,Fake
D.L. Davis,"""WOW county swing suburban voters (in Wisconsin) don't vote for Donald Trump.”",Paul Ryan,Real
Gabrielle Settles,"""They have been preparing for mass extinction with these death caskets"" in Madison, Ga.",Facebook posts,Fake
Loreben Tuquero,“34 dead after Lizzo attempted to crowd surf.”,Instagram posts,Fake
Loreben Tuquero,"A video shows Sen. John Kennedy, R-La., playing a phone conversation between Rep. Alexandria Ocasio-Cortez, D-N.Y., and Hunter Biden.",Facebook posts,Fake
Samantha Putterman,The U.S. Department of Defense awarded a contract for COVID-19 research in Ukraine months before the virus was known.,TikTok posts,Fake
Ciara O'Rourke,Video shows Kenya’s president saying he will “get rid of U.S. dollar.”,Instagram posts,Fake
Ciara O'Rourke,"“Congress, White House, IRS, Feds, Federal Reserve are shut down.”",Instagram posts,Fake
Louis Jacobson,“Fewer people get hurt playing rugby” than American football.,Joe Biden,Fake
Ciara O'Rourke,Manhattan District Attorney Alvin Bragg “has been arrested.”,Facebook posts,Fake
Ciara O'Rourke,Elon Musk is offering people the opportunity to make $1 million “in 90 days while sleeping in.”,Viral image,Fake
